,job_id,skill
0,553,r
1,553,python
2,553,sql
3,554,python
4,554,sql
5,554,r
6,555,python
7,555,django
8,555,aws
9,555,sql
10,555,scrum
11,556,linux
12,556,postgresql
13,556,ceph
14,556,python
15,557,continuous-integration
16,557,qa
17,557,automated-tests
18,557,sql
19,557,python
20,558,python
21,558,sql
22,558,deep-learning
23,559,ruby
24,559,sql
25,559,python
26,560,python
27,560,django
28,560,postgresql
29,561,python
30,561,django
31,561,mysql
32,561,docker
33,561,git
34,562,django
35,562,reactjs
36,563,java
37,563,python
38,563,mysql
39,563,engineer
40,563,backend
41,564,java
42,564,scala
43,564,apache
44,565,javascript
45,565,python
46,565,reactjs
47,565,angularjs
48,565,django
49,566,python
50,566,mongodb
51,566,mysql
52,566,postgresql
53,566,etl
54,567,devops
55,567,python
56,567,bash
57,567,opennebula
58,567,continuous-deployment
59,568,aws
60,568,python
61,568,sql
62,568,etl
63,568,amazon-redshift
64,569,sysadmin
65,569,aws
66,569,linux
67,570,python
68,570,mysql
69,570,postgresql
70,570,c++
71,571,python
72,571,linux
73,571,scrum
74,571,rest
75,572,python
76,572,http
77,572,nosql
78,572,mongodb
79,572,zeromq
80,573,amazon-redshift
81,573,amazon-lambda
82,573,amazon-kinesis
83,573,ruby-on-rails
84,573,python
85,574,java
86,574,hadoop
87,574,python
88,574,hive
89,574,dijkstra
90,575,c#
91,575,.net
92,575,java
93,575,python
94,575,data-science
95,576,docker
96,576,cloud
97,576,jenkins
98,576,websphere
99,576,python
100,576,sysadmin
101,577,ruby-on-rails
102,577,python
103,577,ruby
104,578,java
105,578,scala
106,578,go
107,578,aws
108,578,microservices
109,579,java
110,579,css
111,579,user-experience
112,579,python
113,579,ruby
114,579,sysadmin
115,580,php
116,580,java
117,580,python
118,580,postgresql
119,580,mondrian
120,581,html
121,581,css
122,581,javascript
123,582,postgresql
124,582,cassandra
125,582,python
126,582,go
127,582,sysadmin
128,583,linux
129,583,aws
130,583,routing
131,583,mesos
132,583,sysadmin
133,584,python
134,584,restful-web-services
135,584,http
136,584,javascript
137,584,c++
138,584,sysadmin
139,585,machine-learning
140,585,python
141,585,c++14
142,585,tensorflow
143,585,pandas
144,586,aws
145,586,python
146,586,go
147,586,amazon-ecs
148,586,aws-lambda
149,587,sql
150,587,cassandra
151,587,columnstore
152,587,tableau-server
153,587,devops
154,587,sysadmin
155,588,java
156,588,python
157,588,c++
158,588,aws
159,588,azure
160,589,xhtml
161,589,css
162,589,less
163,589,sass
164,589,javascript
165,590,sql
166,590,tableau
167,590,pentaho
168,590,qlikview
169,591,java
170,591,solr
171,591,machine-learning
172,591,full-text-search
173,591,agile
174,592,php
175,592,go
176,592,nosql
177,592,docker
178,592,high-traffic
179,593,java
180,593,python
181,593,ruby
182,593,cloud
183,593,devops
184,593,sysadmin
185,594,python
186,594,c++
187,594,javascript
188,594,algorithm
189,594,performance
190,595,python
191,595,c++
192,595,javascript
193,595,algorithm
194,595,performance
195,596,python
196,596,aws
197,596,redis
198,596,bigdata
199,596,machine-learning
200,597,java
201,597,hadoop
202,597,apache-spark
203,597,apache-storm
204,597,hive
205,598,java
206,598,cloud
