job_id,skill
67, Optimizely
67, Angular
67, React
68,JavaScript
68, Node.js
68, Cucumber
68, Gherkin
68, Selenium
68, Nightwatch
68, Mocha
68, Chai
68, JUnit
68, SQL
68, Linux
68, AWS
69,agile
69, XP
69, Kanban 
70,HTML5
70, CSS
70, REST
70, Websocket
70, UI/UX
70, Elm
71,GIS
71, Java
71, Android
71, Swift
72,ElasticSearch
72, Mysql
72, Grails
72, Spring
72, Spring-Boot
72, Hibernate
72, Apache Tomcat
72, AWS
72, RestAPI
72, agile
72, Scrum
72, Kanban
73,ERP-systems
73, SAP
73, SQL
74,Scrum
74, Kanban
74, Waterfall
74, UML modeling
75,Excel
75, SQL
75, Pentaho
75, Talend
75, A/B testing
76,python
76, Linux/Unix
76, scikit-learn
76, TensorFlow
77,Javascript
77, Angular
77, Redux
77, React
77, UX/UI
77, RxJava
77, NoSQL
77, Couchbase
78,Java
78, Node.js
78, JavaScript
78, React.js
78, ES6
78, SQL
78, NoSQL
79,Server administration
80,Javascript
80, Angular
80, React.js
80, Gulp
80, SASS/LESS
80, Browserify
81,
82,PHP5/OOP
82, MySQL
82, REST/SOAP
82, Elasticsearch
82, Magento
83,PHP
83, Javascript
83, Magento
84,Java8
84, Spring (DI
84, Security
84, Scheduling
84, Tx
84, Spring REST
84, Spring WS)
84, Spring Cloud Netflix (Eureka
84, Ribbon)
84, Messaging JMS / AMQP
84, Maven
84, PostgreSQL
84, Dynamo DB
84, Redis
84, Hybrid Cloud Technologies
85,Angular
85, Backbone
85, react
85, Redux
85, Webpack
85, Universal rendering
85, Marionette
85, SCSS
85, Node
86,Linux/UNIX
86, nginx
86, php-fpm
86, memcached
86, redis
86, MySQL
86, JVM
86, node.js
86, Ansible
86, CloudFormation
86, EC2
86, Route 53
86, Elasticache
86, RDS
86, Redshift
86, Elasticsearch
86, AWS
86, Bash
86, Python
86, Ruby
86, PHP
87,Jira
87, Confluence
87, GIT
87, SQL
87, NoSQL
87, 
88,HTML5
88, CSS
88, REST
88, Websocket
88, UI/UX
89,CSS
89, HTML
89, Javascript
89, Node.js
